RECNR,HAUPTNR,LEMMA_RECNR,NAMIDENT,ALPHABET,SPRCODE,GESCHLECHT,GEBJAHR,TODJAHR,LEBENSDATEN,VITAZEILE,AKTIVBEGINN,AKTIVENDE,KUENSTLER,NAME,VORNAME,NAMENSANZEIGE,NAMENSSUCHE,LITERATUR,AUSSTELLUNGEN,EVENTS,PERFORMANCES,LIT_AUSWAHL,WERK_AUSWAHL,LEXIKA,LEBENSJAHRE,RATING,RATING_PROMPT,BEARBEITUNGSSTAND,ARTIKELPFADWORD,ARTIKELPFADPDF,KONTEXT_IDS,ARTIKEL_AUTOR,GATTUNGEN,BUERGERORT,NATIONALITAET,ARCHIVHINWEIS,ARTIKEL_DATUM,NAMENSANZEIGE2,PND,PND_URL,URL_TEXT,SIK_ISEA_URL,NEBIS_URL,EAN_URL,NDB_URL,INSERTINST,INSERTER,INSERTDATE,LASTACTION,LASTINSTITUT,LASTUSER,LASTDATE,OBJEKTNR,OBJEKTHAUPTNR,OBJEKTKURZFORM,RELATOR,RELATOR_BEMERKUNG,VERWEISZEICHEN,VERWEISTEXT,VERWEIS_OBJEKTNR,VERWEIS_OBJEKTHAUPTNR,VERWEIS_KURZFORM,OBJEKT_TABLE,VERWEIS_OBJEKT_TABLE,SETPOS
4022905,4022905,12379592,"Girardet, Karl (Charles)","girardet,karl",FRA,M,1813,1871,"* 7.5.1813 Le Locle, $+$ 24.4.1871 Paris","Peintre de paysages et d'histoire orientaliste et romantique; illustrateur. Actif à Paris. Fils aîné de Charles-Samuel et frère d'Edouard et Paul Girardet",1831,1871,J,Girardet,"Karl (Charles)","Girardet, Karl (Charles) ","Girardet Karl#Girardet Karl (Charles) Girardet Karl (Charles)#Girardet Karl#Girardet Karl Charles Girardet Karl Charles ",28,12,0,0,"9640311,9664496,9770177,9770192,9750191,9676390,9741448,11083323,11741389,11741420,",,4,1813-1871,*****,"Article de dictionnaire",20.07.2015,,,"1,11,6,13,14,2,4,5,0,12,9,10,","Sylvain Bauhofer, 1998, actualisé","peinture, illustration, peinture à l'huile","La Chaux-de-Fonds (NE), Le Locle (NE)",CH,,2015,"Girardet, Karl (Charles)",117545236,http://d-nb.info/gnd/117545236,,,"http://recherche.nebis.ch/nebis/action/search.do?&fn=search&vid=NEBIS&mode=Basic&scp.scps=scope&3A&vl(309313494UI1)=all_items&vl(freeText0)=%22Girardet,%20Karl%22%20OR%20%22Karl%20Girardet%22",http://www.european-art.net/eingang_besucher/index.cfm?token_lastname=Girardet&token_firstname=Karl,http://www.deutsche-biographie.de/pnd117545236.html,SIK,EGLI,24.03.1998,I,SIK,EGLI,24.03.1998,12392426,9711890,"Girardet [Famille] ([Dernier quart du XVIII!e-première moitié du XX!e siècle])",>,,,Familienmitglied,12379592,4022905,"Girardet, Karl (Charles) (* 7.5.1813 Le Locle, + 24.4.1871 Paris)",P20,P20,
4023345,4023345,12379415,"Dünz, Johannes","duenz,johannes",DEU,M,1645,1736,"* 17.1.1645 Brugg (Taufe), $+$ 9.10.1736 Bern","Porträtist, Veduten- und Stilllebenmaler. Ab 1661 in Bern tätig. Mitglied der Künstlerfamilie Dünz",1663,1736,J,Dünz,Johannes,"Dünz, Johannes  [Düntz, Johannes]","Dünz Johannes#Duenz Johannes £ Düntz Johannes#Duentz Johannes",16,6,0,0,"14111518,9643306,9653207,9652597,9653214,9653219,9636770,9644349,",,7,1645-1736,****,Lexikon-Artikel,23.04.2015,,,"1,11,6,13,14,2,4,5,0,12,9,10,","Georges Herzog, 1998, aktualisiert","Gouache, Ölmalerei, Aquarell, Malerei","Bern, Brugg (AG)",CH,,2014,"Dünz, Johannes",1017139059,http://d-nb.info/gnd/1017139059,,,"http://recherche.nebis.ch/nebis/action/search.do?&fn=search&vid=NEBIS&mode=Basic&scp.scps=scope&3A&vl(309313494UI1)=all_items&vl(freeText0)=%22Dünz,%20Johannes%22%20OR%20%22Johannes%20Dünz%22",http://www.european-art.net/eingang_besucher/index.cfm?token_lastname=Dünz&token_firstname=Johannes,http://www.deutsche-biographie.de/pnd1017139059.html,SIK,PLÜSS,04.09.1997,I,SIK,PLÜSS,04.09.1997,12392438,9668529,"Dünz ([Ende 16. - Mitte 18. Jahrhundert])",>,,,Familienmitglied,12379415,4023345,"Dünz, Johannes (* 17.1.1645 Brugg (Taufe), + 9.10.1736 Bern)",P20,P20,
4002362,4002362,12373588,"Vetter, Konrad","vetter,konrad",DEU,M,1922,,"* 2.4.1922 Bern","Glasmaler, Zeichner und Objektkünstler. Leiter der Glasmalerwerkstätte Paul Wüthrich in Bern. 1955-1975 Mitglied der Berner Arbeitsgemeinschaft",1940,2021,J,Vetter,"Konrad Ludwig","Vetter, Konrad ","Vetter Konrad#Vetter Konrad Ludwig Vetter Konrad Ludwig ",27,27,0,0,"8001885,9665516,9665499,9710176,9710220,9710195,9710210,",,4,1922,***,Lexikon-Artikel,05.08.2015,,,"1,11,6,13,14,2,5,4,7,0,12,9,10,","Barbara Wucherer","Malerei, Zeichnung, Glasmalerei, Glasarbeiten, Baugestaltung, Objektkunst, Plastik, Skulptur","Märwil (TG)",CH,,1998,"Vetter, Konrad",119139413,http://d-nb.info/gnd/119139413,www.konrad-vetter.ch,www.konrad-vetter.ch,"http://recherche.nebis.ch/nebis/action/search.do?&fn=search&vid=NEBIS&mode=Basic&scp.scps=scope&3A&vl(309313494UI1)=all_items&vl(freeText0)=%22Vetter,%20Konrad%22%20OR%20%22Konrad%20Vetter%22",http://www.european-art.net/eingang_besucher/index.cfm?token_lastname=Vetter&token_firstname=Konrad,http://www.deutsche-biographie.de/pnd119139413.html,SIK,SIEBER,"27.08.2013 17:38:11",I,SIK,SIEBER,"27.08.2013 17:38:11",13755604,13755604,,>,,,Gruppenmitglied,4002362,4002362,"Vetter, Konrad Ludwig",P20,P20,2
4023148,4023148,12379075,"Lindtmayer, Felix (der Jüngere)","lindtmayer,felix",DEU,,1524,1574,"* um 1524 Schaffhausen, $+$ 5.10.1574 Schaffhausen","Glasmaler. Wappenfenster, Scheiben sowie Entwürfe. Mitglied der Künstlerfamilie Lindtmayer. Sohn von Felix Lindtmayer dem Älteren",1542,1574,J,Lindtmayer,Felix,"Lindtmayer, Felix (der Jüngere) ","Lindtmayer Felix (der Jüngere)#Lindtmayer Felix (der Juengere)#Lindtmayer Felix der Jüngere#Lindtmayer Felix der Juengere ",10,1,0,0,"9731699,9739711,9720137,9798890,9798915,13030137,",,5,1524-1574,***,Lexikon-Artikel,23.04.2015,,,"1,11,6,13,14,2,4,5,0,12,9,10,","Maria Becker",Glasmalerei,Schaffhausen,CH,,1998,"Lindtmayer, Felix (der Jüngere)",136727190,http://d-nb.info/gnd/136727190,,,"http://recherche.nebis.ch/nebis/action/search.do?&fn=search&vid=NEBIS&mode=Basic&scp.scps=scope&3A&vl(309313494UI1)=all_items&vl(freeText0)=%22Lindtmayer,%20Felix%22%20OR%20%22Felix%20Lindtmayer%22",http://www.european-art.net/eingang_besucher/index.cfm?token_lastname=Lindtmayer&token_firstname=Felix,http://www.deutsche-biographie.de/pnd136727190.html,SIK,PLÜSS,04.03.1998,U,SIK,PLÜSS,13.07.1998,12394320,9788529,"Lindtmayer [Familie] ([16. Jahrhundert])",>,,,Familienmitglied,12379075,4023148,"Lindtmayer, Felix [der Jüngere] (* um 1523/24 Schaffhausen, + 5.10.1574 Schaffhausen)",P20,P20,
4000208,4000208,12388561,"Eggenschwiler, Franz","eggenschwiler,franz",DEU,M,1930,2000,"* 9.12.1930 Solothurn, $+$ 12.7.2000 Bern","Objektkünstler, Zeichner und Grafiker. Glasmalerei, Malerei, Plastik, Baugestaltung und Schmuck. 1955-1975 Berner Arbeitsgemeinschaft",1948,2000,J,Eggenschwiler,Franz,"Eggenschwiler, Franz ","Eggenschwiler Franz ",153,133,0,0,"8000338,9607150,12684613,9665507,9665512,9665516,9665523,9665530,9665486,9793527,",,6,1930-2000,****,Lexikon-Artikel,05.08.2015,,,"1,11,6,13,14,2,5,4,7,0,12,9,10,","Magdalena Plüss, 1998, aktualisiert","Objektkunst, Holzschnitt, Druckgrafik, Zeichnung, Malerei, Gravure, Lithographie, Schmuck, Baugestaltung, Glasmalerei, Eisenplastik, Plastik","Aedermannsdorf (SO), Eriswil (BE)",CH,,2011,"Eggenschwiler, Franz",118529056,http://d-nb.info/gnd/118529056,,,"http://recherche.nebis.ch/nebis/action/search.do?&fn=search&vid=NEBIS&mode=Basic&scp.scps=scope&3A&vl(309313494UI1)=all_items&vl(freeText0)=%22Eggenschwiler,%20Franz%22%20OR%20%22Franz%20Eggenschwiler%22",http://www.european-art.net/eingang_besucher/index.cfm?token_lastname=Eggenschwiler&token_firstname=Franz,http://www.deutsche-biographie.de/pnd118529056.html,SIK,SIEBER,"27.08.2013 17:37:50",I,SIK,SIEBER,"27.08.2013 17:37:50",13755604,13755604,,>,,,Gruppenmitglied,4000208,4000208,"Eggenschwiler, Franz",P20,P20,
4000168,4000168,12373162,"Bächer, Victor H.","baecher,victorh",DEU,M,1933,2015,"* 28.8.1933 Winterthur, $+$ 7.12.2015 Zürich","Maler und Zeichner. Plastik und Wandbild. Mitglied der Künstlergruppe ZEF",1951,2015,J,Bächer,"Victor H. (Hugo)","Bächer, Victor H. ","Bächer Victor H.#Baecher Victor H.#Bächer Victor H. (Hugo) Baecher Victor H. (Hugo)#Bächer Victor H.#Baecher Victor H.#Bächer Victor H. Hugo Baecher Victor H. Hugo ",26,39,0,0,"8000995,9708017,9707873,9707879,8003787,11018199,11162090,9679417,",,5,1933-2015,***,Lexikon-Artikel,22.12.2015,,,"1,11,6,13,14,2,5,4,7,0,12,9,10,","Tanja Warring, 1998, aktualisiert","Malerei, Zeichnung, Kunst am Bau, Lithographie, Siebdruck, Zeichnung, Plastik",Winterthur,CH,,2015,"Bächer, Victor H.",1017141592,http://d-nb.info/gnd/1017141592,,,"http://recherche.nebis.ch/nebis/action/search.do?&fn=search&vid=NEBIS&mode=Basic&scp.scps=scope&3A&vl(309313494UI1)=all_items&vl(freeText0)=%22Bächer,%20Victor H.%22%20OR%20%22Victor H.%20Bächer%22","http://www.european-art.net/eingang_besucher/index.cfm?token_lastname=Bächer&token_firstname=Victor H.",http://www.deutsche-biographie.de/pnd1017141592.html,SIK,SIEBER,"27.08.2013 17:53:19",I,SIK,SIEBER,"27.08.2013 17:53:19",9697166,9697166,,>,,,Gruppenmitglied,4000168,4000168,"Bächer, Victor H. (Hugo)",P20,P20,
4006608,4006608,12377168,"Mathis, Muda","mathis,muda",DEU,F,1959,,"* 25.2.1959 Zürich","Video- und Performancekünstlerin. Installationen. Zusammenarbeit mit Sus Zwick. Mitglied der Frauenmusikperformancegruppe Les Reines Prochaines",1977,2058,J,Mathis,Muda,"Mathis, Muda  [Mathis, Petra]","Mathis Muda £ Mathis Petra",59,60,2,7,"12362831,12362993,13937109,9645952,9645970,9799385,12950480,12531004,13142532,13267432,",,2,1959,***,Lexikon-Artikel,05.08.2015,,,"1,11,6,13,14,2,4,5,0,12,9,10,","Esther Maria Jungo, 1998, aktualisiert","Video, Audio, Kunst am Bau, Film, Objektkunst, Installation, Performance","Regensberg (ZH)",CH,,2011,"Mathis, Muda",119286513,http://d-nb.info/gnd/119286513,www.mathiszwick.ch,www.mathiszwick.ch,"http://recherche.nebis.ch/nebis/action/search.do?&fn=search&vid=NEBIS&mode=Basic&scp.scps=scope&3A&vl(309313494UI1)=all_items&vl(freeText0)=%22Mathis,%20Muda%22%20OR%20%22Muda%20Mathis%22",http://www.european-art.net/eingang_besucher/index.cfm?token_lastname=Mathis&token_firstname=Muda,http://www.deutsche-biographie.de/pnd119286513.html,SIK,EPELBAUM,"21.06.2011 11:58:30",I,SIK,EPELBAUM,"21.06.2011 11:58:30",12690388,12690388,,>,,,Gruppenmitglied,4006608,4006608,"Mathis, Muda",P20,P20,
4023147,4023147,12392460,"Meyer, Conrad (Konrad)","meyer,conrad",DEU,M,1618,1689,"* 3.10.1618 Zürich, $+$ 15.1.1689 Zürich","Maler und Radierer von Zürich. Porträt, Historie, Genre, Landschaft und Heiligendarstellung. Mitglied der Künstlerfamilie Meyer. Sohn von Dietrich Meyer dem Älteren",1636,1689,J,Meyer,"Conrad (Konrad)","Meyer, Conrad (Konrad) ","Meyer Conrad#Meyer Conrad (Konrad) Meyer Conrad (Konrad)#Meyer Conrad#Meyer Conrad Konrad Meyer Conrad Konrad ",51,12,0,1,"12022152,9644359,9634209,9644816,9644839,9644866,9644905,9644951,9644884,9644897,9644901,",,7,1618-1689,****,Lexikon-Artikel,23.04.2015,,,"1,11,6,13,14,2,4,5,0,12,9,10,","Matthias Vogel, 1998, aktualisiert","Malerei, Radierung, Zeichnung, Medaillen",Zürich,CH,,2015,"Meyer, Conrad (Konrad)",118733273,http://d-nb.info/gnd/118733273,,,"http://recherche.nebis.ch/nebis/action/search.do?&fn=search&vid=NEBIS&mode=Basic&scp.scps=scope&3A&vl(309313494UI1)=all_items&vl(freeText0)=%22Meyer,%20Conrad%22%20OR%20%22Conrad%20Meyer%22",http://www.european-art.net/eingang_besucher/index.cfm?token_lastname=Meyer&token_firstname=Conrad,http://www.deutsche-biographie.de/pnd118733273.html,SIK,PLÜSS,05.03.1998,I,SIK,PLÜSS,05.03.1998,12394116,9788900,"Meyer [Familie] ([Drittes Viertel 16. Jahrhundert - erstes Viertel 18. Jahrhundert])",>,,,Familienmitglied,12392460,4023147,"Meyer, Conrad (Konrad) (* 3.10.1618 Zürich, + 1689 Zürich)",P20,P20,
4023088,4023088,12379683,"Huaud, Jean-Pierre","huaud,jeanpierre",FRA,M,1655,1723,"* 28.7.1655 Genève, $+$ 6.2.1723 Genève","Miniaturiste sur émail et en gouache actif à Genève et à Berlin, où il s'associe à son frère Amy. Membre de la famille d'artistes Huaud",1673,1723,J,Huaud,Jean-Pierre,"Huaud, Jean-Pierre  [Huault, Jean-Pierre; Huaut, Jean-Pierre]","Huaud Jean-Pierre#Huaud Jean Pierre £ Huault Jean-Pierre#Huault Jean Pierre Huaut Jean-Pierre#Huaut Jean Pierre",8,,0,0,"9746988,9750026,9750062,9750067,9783428,",,3,1655-1723,***,"Article de dictionnaire",05.08.2015,,,"1,11,6,13,14,2,4,5,0,12,9,10,","Hans Boeckh","peinture, émail, miniature, gouache",Genève,CH,,1998,"Huaud, Jean-Pierre",1018268642,http://d-nb.info/gnd/1018268642,,,"http://recherche.nebis.ch/nebis/action/search.do?&fn=search&vid=NEBIS&mode=Basic&scp.scps=scope&3A&vl(309313494UI1)=all_items&vl(freeText0)=%22Huaud,%20Jean-Pierre%22%20OR%20%22Jean-Pierre%20Huaud%22",http://www.european-art.net/eingang_besucher/index.cfm?token_lastname=Huaud&token_firstname=Jean-Pierre,http://www.deutsche-biographie.de/pnd1018268642.html,SIK,PLÜSS,07.07.1998,I,SIK,PLÜSS,07.07.1998,12379711,4023086,"Huaud, Amy (Ami) (* 9.8.1657 Genève, + 16.11.1724 Genève)",>,,,Familienmitglied,12379683,4023088,"Huaud, Jean-Pierre (* 28.7.1655 Genève, + 6.2.1723 Genève)",P20,P20,
4023088,4023088,12379683,"Huaud, Jean-Pierre","huaud,jeanpierre",FRA,M,1655,1723,"* 28.7.1655 Genève, $+$ 6.2.1723 Genève","Miniaturiste sur émail et en gouache actif à Genève et à Berlin, où il s'associe à son frère Amy. Membre de la famille d'artistes Huaud",1673,1723,J,Huaud,Jean-Pierre,"Huaud, Jean-Pierre  [Huault, Jean-Pierre; Huaut, Jean-Pierre]","Huaud Jean-Pierre#Huaud Jean Pierre £ Huault Jean-Pierre#Huault Jean Pierre Huaut Jean-Pierre#Huaut Jean Pierre",8,,0,0,"9746988,9750026,9750062,9750067,9783428,",,3,1655-1723,***,"Article de dictionnaire",05.08.2015,,,"1,11,6,13,14,2,4,5,0,12,9,10,","Hans Boeckh","peinture, émail, miniature, gouache",Genève,CH,,1998,"Huaud, Jean-Pierre",1018268642,http://d-nb.info/gnd/1018268642,,,"http://recherche.nebis.ch/nebis/action/search.do?&fn=search&vid=NEBIS&mode=Basic&scp.scps=scope&3A&vl(309313494UI1)=all_items&vl(freeText0)=%22Huaud,%20Jean-Pierre%22%20OR%20%22Jean-Pierre%20Huaud%22",http://www.european-art.net/eingang_besucher/index.cfm?token_lastname=Huaud&token_firstname=Jean-Pierre,http://www.deutsche-biographie.de/pnd1018268642.html,SIK,EGLI,11.08.1997,I,SIK,EGLI,11.08.1997,12393172,9710972,"Huaud ([2. Viertel 17 - 1. Hälfte 18. Jahrhundert])",>,,,Familienmitglied,12379683,4023088,"Huaud, Jean Pierre (28.7.1655 Genève - 6.2.1723)",P20,P20,
