Objektbez,Jahr,namident,sprcode,Geschlecht,gebjahr,todjahr,ausstellungen,events,performances,literatur,rating,NATIONALITAET
Ölmalerei,1894,"Iten, Meinrad",DEU,M,1867,1932,2,0,0,8,***,CH
Ölmalerei,1872,"Schider, Fritz",DEU,M,1846,1907,10,0,0,20,***,"A, CH"
installazione,1993,"Camesi, Gianfredo",ITA,M,1940,,126,0,0,120,****,CH
Ölmalerei,1977,"Camesi, Gianfredo",ITA,M,1940,,126,0,0,120,****,CH
Farbstiftzeichnung,2007,"Wyss, Franz Anatol",DEU,M,1940,,98,0,0,77,***,CH
Ölmalerei,1918,"Zschokke, Alexander",DEU,M,1894,1981,14,0,0,34,***,CH
Ölmalerei,1917,"Zschokke, Alexander",DEU,M,1894,1981,14,0,0,34,***,CH
Ölmalerei,1918,"Zschokke, Alexander",DEU,M,1894,1981,14,0,0,34,***,CH
Ölmalerei,1918,"Zschokke, Alexander",DEU,M,1894,1981,14,0,0,34,***,CH
Ölmalerei,1918,"Zschokke, Alexander",DEU,M,1894,1981,14,0,0,34,***,CH
Ölmalerei,,"Girardet, Karl (Charles)",FRA,M,1813,1871,12,0,0,28,*****,CH
"peinture à l'huile",1850,"Girardet, Karl (Charles)",FRA,M,1813,1871,12,0,0,28,*****,CH
Ölmalerei,1831,"Girardet, Karl (Charles)",FRA,M,1813,1871,12,0,0,28,*****,CH
"peinture à l'acryl",1989,"Manz, Jean-Luc",FRA,M,1952,,108,0,0,63,***,CH
"peinture à l'huile",1991,"Manz, Jean-Luc",FRA,M,1952,,108,0,0,63,***,CH
"peinture à l'acryl",1999,"Manz, Jean-Luc",FRA,M,1952,,108,0,0,63,***,CH
Plastik,1992,"Wiggli, Oscar",DEU,M,1927,,84,0,2,113,****,CH
Eisenplastik,1959,"Wiggli, Oscar",DEU,M,1927,,84,0,2,113,****,CH
Ölmalerei,1869,"Buchser, Frank",DEU,M,1828,1890,65,0,0,107,****,CH
Ölmalerei,1870,"Buchser, Frank",DEU,M,1828,1890,65,0,0,107,****,CH
Ölmalerei,1880,"Buchser, Frank",DEU,M,1828,1890,65,0,0,107,****,CH
Ölmalerei,1876,"Buchser, Frank",DEU,M,1828,1890,65,0,0,107,****,CH
Ölmalerei,1871,"Buchser, Frank",DEU,M,1828,1890,65,0,0,107,****,CH
Ölmalerei,1852,"Buchser, Frank",DEU,M,1828,1890,65,0,0,107,****,CH
Ölmalerei,1874,"Buchser, Frank",DEU,M,1828,1890,65,0,0,107,****,CH
Ölmalerei,1846,"Buchser, Frank",DEU,M,1828,1890,65,0,0,107,****,CH
Ölmalerei,1880,"Buchser, Frank",DEU,M,1828,1890,65,0,0,107,****,CH
