;unter_15;Åber_75;Eink_US$;Erspar_%;Agrar_%;Industr_%;Dienstl_%
Aust;29.000;30.000;117.000;22.000;6.000;36.000;58.000
Boli;42.000;20.000;10.000;12.000;16.000;34.000;50.000
Braz;42.000;10.000;37.000;26.000;12.000;26.000;62.000
Cana;32.000;30.000;149.000;18.000;4.000;31.000;65.000
Chil;40.000;10.000;33.000;2.000;7.000;43.000;50.000
Cost;48.000;10.000;24.000;22.000;23.000;24.000;53.000
Denm;24.000;40.000;125.000;34.000;7.000;38.000;55.000
Ecua;46.000;10.000;15.000;8.000;27.000;22.000;51.000
Finl;28.000;20.000;84.000;22.000;12.000;38.000;50.000
Germ;23.000;30.000;123.000;26.000;3.000;54.000;43.000
Gree;26.000;30.000;44.000;22.000;16.000;27.000;57.000
Hond;47.000;10.000;12.000;16.000;31.000;21.000;48.000
Indi;41.000;10.000;5.000;18.000;43.000;20.000;37.000
Ital;25.000;30.000;70.000;28.000;9.000;42.000;49.000
Japa;27.000;20.000;63.000;42.000;6.000;45.000;49.000
Kore;42.000;10.000;11.000;8.000;28.000;31.000;41.000
Lybi;44.000;20.000;6.000;18.000;2.000;70.000;28.000
Luxe;22.000;40.000;123.000;20.000;4.000;52.000;44.000
Mala;47.000;10.000;12.000;10.000;30.000;28.000;42.000
Neth;25.000;30.000;87.000;30.000;6.000;39.000;55.000
Nica;45.000;10.000;17.000;14.000;25.000;26.000;49.000
Pana;44.000;10.000;29.000;8.000;19.000;24.000;57.000
Para;41.000;10.000;11.000;4.000;32.000;21.000;47.000
Peru;44.000;10.000;20.000;26.000;17.000;35.000;48.000
Port;29.000;30.000;29.000;24.000;16.000;41.000;43.000
SAfr;32.000;20.000;33.000;22.000;8.000;41.000;51.000
Spai;28.000;30.000;39.000;24.000;11.000;37.000;52.000
Swed;21.000;50.000;165.000;14.000;4.000;39.000;57.000
Turk;43.000;10.000;20.000;10.000;27.000;29.000;44.000
Tuni;46.000;10.000;13.000;6.000;17.000;21.000;62.000
UK;23.000;40.000;91.000;16.000;2.000;42.000;56.000
USA;30.000;30.000;200.000;16.000;3.000;35.000;62.000
Urug;28.000;30.000;39.000;18.000;11.000;25.000;64.000
Vene;46.000;10.000;41.000;18.000;7.000;40.000;53.000
Zamb;45.000;10.000;7.000;38.000;11.000;55.000;34.000
